id,title,tech,status,hours_logged,revenue
1,Volunteer Management System,.NET / C#,In Progress,60,3200
2,Synthetic Voice Detection,Python,Training,85,5400
3,Student Engagement Analytics,Computer Vision,Planning,10,0
4,GPA Race Mobile Game,Kotlin,Completed,120,4500
5,Fresh Basket Grocers Ledger,Python,Completed,45,2800
6,Pet Adoption Center,Java,Completed,70,3900
7,Mini Mood Tracker,C# Windows Forms,Completed,30,1500
8,Network Packet Tracer Simulation,Cisco,Completed,25,0
9,Student Exchange App,Android / XML,In Progress,55,2200
10,Bengaluru Cares Web Portal,HTML/CSS/MongoDB,Planning,15,0
11,wokkkkkk,java,Completed,120,300
12,akash,java,In Progress,2,200
