ProjectID,ProjectName,Category,TechStack,HoursLogged,Revenue,HourlyRate,BugsFixed,ClientRating,CompletionPercent
1,Volunteer Management System,Web,.NET / C#,60,3200,55,12,4.5,100
2,Synthetic Voice Detection,AI/ML,Python,85,5400,65,9,4.8,90
3,Student Engagement Analytics,AI/ML,Computer Vision,10,0,0,2,3.5,15
4,GPA Race Mobile Game,Mobile,Kotlin,120,4500,38,20,4.2,100
5,Fresh Basket Grocers Ledger,Desktop,Python,45,2800,62,5,4.9,100
6,Pet Adoption Center,Desktop,Java,70,3900,56,15,4.0,100
7,Mini Mood Tracker,Desktop,C# Windows Forms,30,1500,50,3,4.6,100
8,Network Packet Tracer Simulation,Systems,Cisco,25,0,0,1,3.8,80
9,Student Exchange App,Mobile,Android / XML,55,2200,40,10,3.9,70
10,Bengaluru Cares Web Portal,Web,HTML/CSS/MongoDB,15,0,0,4,4.1,30
11,E-Commerce Backend,Web,Node.js,95,6200,65,18,4.7,100
12,Portfolio Website Builder,Web,React,40,1800,45,6,4.3,100
13,Chat Application,Web,WebSocket / Python,65,3500,54,11,4.4,95
14,Inventory Management System,Web,Django,78,4100,53,14,4.0,100
15,Weather Forecast App,Mobile,Flutter,32,1600,50,7,3.7,100
16,AI Resume Screener,AI/ML,Python / NLP,100,7000,70,16,4.9,90
17,Fitness Tracker App,Mobile,Kotlin,50,2400,48,9,4.2,100
18,Real Estate Listing Platform,Web,PHP / Laravel,88,5000,57,13,4.1,100
